id,nameKey,element,archetype,poiseMax,str,con,int,dex,aur,luk,skillIds,aiProfileId,chapter,spriteFolder
enemy_mire_serpent,enemy.mire_serpent.name,Water,Skirmisher,28,14,12,8,18,8,10,skill_basic_attack;skill_poison_bite,ai_special,2,enemy_mire_serpent
enemy_fungal_horror,enemy.fungal_horror.name,Dark,Bomber,30,10,14,14,10,10,8,skill_basic_attack;skill_spore_cloud,ai_special,2,enemy_fungal_horror
enemy_drowned_knight,enemy.drowned_knight.name,Water,Tank,50,18,22,8,10,10,8,skill_basic_attack;skill_power_strike;skill_guard,ai_special,2,enemy_drowned_knight
enemy_crypt_wraith,enemy.crypt_wraith.name,Dark,Caster,30,8,11,20,12,14,10,skill_basic_attack;skill_silence_curse,ai_special,3,enemy_crypt_wraith
enemy_bone_archer,enemy.bone_archer.name,Neutral,Archer,28,11,11,8,20,9,9,skill_basic_attack;skill_bone_volley,ai_special,3,enemy_bone_archer
enemy_grave_golem,enemy.grave_golem.name,Earth,Tank,62,15,32,8,8,12,7,skill_basic_attack;skill_guard,ai_special,3,enemy_grave_golem
enemy_death_priest,enemy.death_priest.name,Dark,Healer,30,8,13,18,10,16,10,skill_basic_attack;skill_revive_ally,ai_special,3,enemy_death_priest
enemy_shadow_stalker,enemy.shadow_stalker.name,Dark,Skirmisher,27,13,11,9,24,9,10,skill_basic_attack;skill_flurry_combo,ai_special,3,enemy_shadow_stalker
enemy_cursed_gargoyle,enemy.cursed_gargoyle.name,Earth,Brute,55,26,24,8,10,9,7,skill_basic_attack;skill_power_strike,ai_special,3,enemy_cursed_gargoyle
enemy_mummy_guardian,enemy.mummy_guardian.name,Neutral,Tank,58,16,28,8,8,11,7,skill_basic_attack;skill_dispel_strike,ai_special,3,enemy_mummy_guardian
enemy_soul_reaper,enemy.soul_reaper.name,Dark,Debuffer,30,9,12,19,12,15,10,skill_basic_attack;skill_lich_curse,ai_special,3,enemy_soul_reaper
enemy_bone_swordsman,enemy.bone_swordsman.name,Neutral,Grunt,32,14,15,8,10,9,9,skill_basic_attack;skill_power_strike,ai_special,3,enemy_bone_swordsman
enemy_phantom_knight,enemy.phantom_knight.name,Dark,Brute,56,24,25,8,11,9,8,skill_basic_attack;skill_dispel_strike,ai_special,3,enemy_phantom_knight
enemy_crypt_spider,enemy.crypt_spider.name,Dark,Skirmisher,26,12,10,9,22,8,10,skill_basic_attack;skill_poison_bite,ai_special,3,enemy_crypt_spider
enemy_necrotic_hound,enemy.necrotic_hound.name,Dark,Skirmisher,28,13,11,9,21,9,10,skill_basic_attack;skill_lich_drain,ai_special,3,enemy_necrotic_hound
enemy_fire_imp,enemy.fire_imp.name,Fire,Skirmisher,24,12,9,12,18,8,9,skill_basic_attack;skill_fire_slash,ai_special,4,enemy_fire_imp
enemy_lava_slime,enemy.lava_slime.name,Fire,Grunt,28,10,14,10,8,8,8,skill_basic_attack;skill_fire_slash,ai_special,4,enemy_lava_slime
enemy_obsidian_golem,enemy.obsidian_golem.name,Earth,Tank,65,18,34,8,7,10,6,skill_basic_attack;skill_guard,ai_special,4,enemy_obsidian_golem
enemy_flame_wisp,enemy.flame_wisp.name,Fire,Caster,26,8,10,20,12,12,10,skill_basic_attack;skill_elemental_strike,ai_special,4,enemy_flame_wisp
enemy_ash_wraith,enemy.ash_wraith.name,Dark,Debuffer,28,8,11,17,14,14,10,skill_basic_attack;skill_ash_blind,ai_special,4,enemy_ash_wraith
enemy_magma_hound,enemy.magma_hound.name,Fire,Skirmisher,28,15,12,8,24,8,10,skill_basic_attack;skill_wolf_pounce,ai_special,4,enemy_magma_hound
enemy_cinder_bat,enemy.cinder_bat.name,Fire,Skirmisher,24,11,9,9,22,8,10,skill_basic_attack;skill_flurry_combo,ai_special,4,enemy_cinder_bat
enemy_ember_knight,enemy.ember_knight_foe.name,Fire,Brute,58,25,26,8,10,10,8,skill_basic_attack;skill_power_strike,ai_special,4,enemy_ember_knight
enemy_volcanic_crab,enemy.volcanic_crab.name,Earth,Tank,60,20,30,8,8,10,6,skill_basic_attack;skill_guard,ai_special,4,enemy_volcanic_crab
enemy_pyroclast_mage,enemy.pyroclast_mage.name,Fire,Caster,27,8,11,21,11,13,10,skill_basic_attack;skill_lava_burst,ai_special,4,enemy_pyroclast_mage
enemy_charred_zombie,enemy.charred_zombie.name,Fire,Grunt,30,14,15,8,9,8,8,skill_basic_attack;skill_fire_slash,ai_special,4,enemy_charred_zombie
enemy_flame_serpent,enemy.flame_serpent.name,Fire,Skirmisher,29,15,13,9,20,8,10,skill_basic_attack;skill_fire_slash,ai_special,4,enemy_flame_serpent
enemy_molten_brute,enemy.molten_brute.name,Fire,Brute,60,27,27,8,9,9,7,skill_basic_attack;skill_lava_burst,ai_special,4,enemy_molten_brute
boss_void_king,boss.void_king.name,Dark,Boss,180,26,60,28,16,16,12,skill_basic_attack;skill_voidking_judgment;skill_voidking_corrupt,ai_boss,5,boss_void_king
boss_trial_champion,boss.trial_champion.name,Dark,Boss,300,32,200,35,20,20,12,skill_basic_attack;skill_voidking_judgment;skill_voidking_corrupt,ai_boss,5,boss_void_king
enemy_void_cultist,enemy.void_cultist.name,Dark,Grunt,34,15,16,9,10,10,9,skill_basic_attack;skill_void_rend,ai_special,5,enemy_void_cultist
enemy_shadow_knight,enemy.shadow_knight.name,Dark,Brute,62,28,28,8,11,10,8,skill_basic_attack;skill_power_strike,ai_special,5,enemy_shadow_knight
enemy_abyssal_wraith,enemy.abyssal_wraith.name,Dark,Caster,32,8,12,22,13,15,10,skill_basic_attack;skill_star_drain,ai_special,5,enemy_abyssal_wraith
enemy_void_horror,enemy.void_horror.name,Dark,Bomber,34,11,15,16,11,11,9,skill_basic_attack;skill_abyss_wave,ai_special,5,enemy_void_horror
enemy_corrupted_golem,enemy.corrupted_golem.name,Dark,Tank,68,19,36,8,7,11,6,skill_basic_attack;skill_guard,ai_special,5,enemy_corrupted_golem
enemy_star_priest,enemy.star_priest.name,Dark,Healer,32,8,14,19,10,17,10,skill_basic_attack;skill_revive_ally,ai_special,5,enemy_star_priest
enemy_nether_hound,enemy.nether_hound.name,Dark,Skirmisher,30,16,13,8,26,9,10,skill_basic_attack;skill_wolf_pounce,ai_special,5,enemy_nether_hound
enemy_void_reaver,enemy.void_reaver.name,Dark,Brute,60,29,28,8,11,9,8,skill_basic_attack;skill_void_rend,ai_special,5,enemy_void_reaver
enemy_abyss_stalker,enemy.abyss_stalker.name,Dark,Skirmisher,29,14,12,9,26,9,10,skill_basic_attack;skill_flurry_combo,ai_special,5,enemy_abyss_stalker
enemy_chaos_spawn,enemy.chaos_spawn.name,Dark,Debuffer,32,10,14,20,12,16,10,skill_basic_attack;skill_bog_curse,ai_special,5,enemy_chaos_spawn
enemy_dark_sentinel,enemy.dark_sentinel.name,Neutral,Tank,64,17,32,8,8,12,7,skill_basic_attack;skill_dispel_strike,ai_special,5,enemy_dark_sentinel
enemy_void_serpent,enemy.void_serpent.name,Dark,Skirmisher,31,16,14,9,22,9,10,skill_basic_attack;skill_void_rend,ai_special,5,enemy_void_serpent
enemy_nightmare_fiend,enemy.nightmare_fiend.name,Dark,Brute,61,29,29,8,10,9,8,skill_basic_attack;skill_power_strike,ai_special,5,enemy_nightmare_fiend
